date,day,channel,content,pack_or_notes,cta,status
2026-08-04,Mon,Feed+Stories,Post 9 Community,posts/09-community.md,Follow + #BobsSundayClub,todo
2026-08-05,Tue,Feed+Stories,Post 8 Woman-owned,posts/08-woman-owned.md + assets/tile-08,Support woman-owned,todo
2026-08-06,Wed,Feed+Reel,Post 7 Cali in hand,posts/07-cali-in-hand.md,Tag Sunday person,todo
2026-08-07,Thu,Feed+Stories,Post 6 How Sunday works,posts/06-how-sunday-works.md + assets/tile-06,Order by Sat 3PM,todo
2026-08-08,Fri,Feed+Reel,Post 5 Lineup PIN,posts/05-lineup.md,Save menu,todo
2026-08-09,Sat,Feed+Stories,Post 4 Sauce + last call,posts/04-sauce.md,Order before 3PM,todo
2026-08-10,Sun,Stories+Reel,Live drop kitchen/doorstep,No feed required,Join Sunday club,todo
2026-08-11,Mon,Feed+Stories,Post 3 Soyrizo + recap,posts/03-soyrizo.md,Tag vegetarian,todo
2026-08-12,Tue,Feed,Post 2 Who we are,posts/02-who-we-are.md + assets/tile-02,Follow,todo
2026-08-13,Wed,Feed+Reel,Post 1 Hero Heavyweight,posts/01-hero-heavyweight.md,Follow for drops,todo
2026-08-14,Thu,Feed+Stories,This Sunday lineup reminder,Prices + photo,Order by Sat 3PM,todo
2026-08-15,Fri,Reel+Stories,Sauce ASMR,Put it on everything,Comment pepper,todo
2026-08-16,Sat,Feed+Stories,LAST CALL urgency,Stories 11am-2:45pm,Link in bio,todo
2026-08-17,Sun,Stories+Reel,Kitchen + deliveries,Batch count optional,Tag us,todo
2026-08-18,Mon,Stories,Recap + UGC reposts,Thank by name,#BobsSundayClub,todo
2026-08-19,Tue,Feed,Woman-owned BTS,Process photos,Follow journey,todo
2026-08-20,Wed,Reel,Cheese pull / ranking,High save,Which is yours,todo
2026-08-21,Thu,Feed+Stories,Menu pick your fighter,Story poll,Order push,todo
2026-08-22,Fri,Reel+Stories,POV almost Sunday,Order sticker,Link,todo
2026-08-23,Sat,Feed+Stories,Last call + pay FAQ,Venmo Zelle handles,Cutoff 3PM,todo
2026-08-24,Sun,Stories+Reel,Doorstep joy,Ask for tags,UGC,todo
2026-08-25,Mon,Feed,Customer quote UGC,Permission first,Join club,todo
2026-08-26,Tue,Stories,AMA kitchen,Answer same day,Engagement,todo
2026-08-27,Wed,Reel,Founder 15s story,Highest trust,Follow,todo
2026-08-28,Thu,Feed+Stories,Lineup + giveaway tease,Follow tag2 save,Enter,todo
2026-08-29,Fri,Reel+Stories,Giveaway rules,Free Sunday order local,Tag friends,todo
2026-08-30,Sat,Feed+Stories,Last call + giveaway,Close with cutoff,Order + enter,todo
2026-08-31,Sun,Stories+Reel,Drop day + winner teaser,Deliver joy,Tags,todo
2026-09-01,Mon,Feed,Winner reveal thank-you,Public kind,Next Sunday,todo
2026-09-02,Tue,Feed,Ingredient spotlight,Eggs or hash browns,Save,todo
2026-09-03,Wed,Reel,Week in life of burrito,Evergreen process,Order link,todo
